ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sugar,Cholesterol,Sodium,Iron,Calcium,SaturatedFat,Potassium,VitaminC,VitaminE,VitaminD
6442,"SOUP,MUSHROOM BARLEY,CND,PREP W/ EQ VOLUME H2O",30,0.77,0.93,4.8,,0,365,0.21,5,0.18,38,0,,
6443,"SOUP,CRM OF MUSHROOM,CND,PREP W/ EQ VOLUME H2O",42,0.79,2.88,3.29,0.72,0,318,0.54,7,0.676,30,0,0.4,0
6444,"SOUP,MUSHROOM W/ BF STOCK,CND,PREP W/ EQ VOLUME H2O",35,1.29,1.65,3.81,,3,397,0.34,4,0.64,65,0.4,,
6445,"SOUP,ONION,CND,PREP W/ EQ VOLUME H2O",23,1.5,0.7,3.27,1.33,0,423,0.27,12,0.103,28,0.5,0.11,0
6446,"SOUP,CRM OF ONION,CND,PREP W/ EQ VOLUME H2O",44,1.13,2.16,5.2,,6,380,0.26,14,0.6,49,0.5,,
6447,"CAMPBELL'S CHUNKY SOUPS,SAVORY VEG SOUP",44,1.22,0.41,8.98,2.45,0,314,0.29,16,0.204,,0,,
6448,"SOUP,OYSTER STEW,CND,PREP W/ EQ VOLUME H2O",24,0.87,1.59,1.69,,6,407,0.41,9,1.04,20,1.3,,
6449,"SOUP,PEA,GRN,CND,PREP W/ EQ VOLUME H2O",61,3.2,1.09,9.88,3.19,0,336,0.73,12,0.524,71,0.6,0.09,0
6451,"SOUP,PEA,SPLIT W/ HAM,CND,PREP W/ EQ VOLUME H2O",75,4.08,1.74,11.05,,3,398,0.9,9,0.7,158,0.6,,
6452,"SOUP,PEPPERPOT,CND,PREP W/ EQ VOLUME H2O",41,2.54,1.85,3.75,0,4,385,0.36,11,0.822,61,0.5,0.03,0
6453,"SOUP,CRM OF POTATO,CND,PREP W/ EQ VOLUME H2O",30,0.72,0.97,4.7,,2,238,0.2,8,0.5,56,0,,
6454,"CAMPBELL'S CHUNKY SOUPS,SIZZLIN' STEAK- GRLD STK CHILI BNS",81,6.53,1.22,11.02,3.67,6,355,0.73,16,0.408,,0.5,,
6455,"SOUP,SCOTCH BROTH,CND,PREP W/ EQ VOLUME H2O",33,2.03,1.07,3.87,0.26,2,415,0.34,8,0.455,65,0.4,0.03,0
6456,"SOUP,CRM OF SHRIMP,CND,PREP W/ EQ VOLUME H2O",36,1.11,2.07,3.27,0.24,7,391,0.21,9,1.29,24,0,0,0
6457,"CAMPBELL'S CHUNKY SOUPS,SLOW RSTD BF W/ MUSHROOMS SOUP",48,3.27,0.61,7.35,2.04,6,339,0.44,8,0.408,,0.5,,
